date,rolling_60d_turnover_hkd
2022-03-23,479949.000294093
2022-03-24,480380.0807879044
2022-03-25,481074.8103749784
2022-03-28,480442.7381197646
2022-03-29,479582.2723052799
2022-03-30,479789.9374171201
2022-03-31,483840.03463846433
2022-04-01,485233.03844168293
2022-04-04,488940.8665408891
2022-04-06,513812.64945227385
2022-04-07,510320.9100389302
2022-04-08,501843.95270057354
2022-04-11,503476.95524272695
2022-04-12,506039.4093313802
2022-04-13,504140.4882730089
2022-04-14,503976.90047146846
2022-04-19,507163.8053219032
2022-04-20,508281.1819974872
2022-04-21,509135.9815769719
2022-04-22,509734.0439677838
2022-04-25,502582.3728689349
2022-04-26,503100.80118187756
2022-04-27,496504.332733273
2022-04-28,495272.8726591143
2022-04-29,502419.1541556325
2022-05-03,502704.19539391267
2022-05-04,503636.9831196035
2022-05-05,507021.03483390773
2022-05-06,496351.42868942604
2022-05-10,492603.872161953
2022-05-11,494123.86979657016
2022-05-12,489903.01489288174
2022-05-13,488891.1546458061
2022-05-16,491989.5853987282
2022-05-17,487337.8503457892
2022-05-18,488442.9605070483
2022-05-19,484410.0534587219
2022-05-20,480985.8593144396
2022-05-23,506205.1608990632
2022-05-24,508966.04808554315
2022-05-25,506630.67745186173
2022-05-26,501921.5473893965
2022-05-27,502320.6058456248
2022-05-30,500710.27256229916
2022-05-31,507791.40130898444
2022-06-01,511181.1954673523
2022-06-02,513075.27371497476
2022-06-06,513242.21389726346
2022-06-07,515079.6052442931
2022-06-08,518008.71749621414
2022-06-09,515664.52563870174
2022-06-10,515308.26030451217
2022-06-13,514764.0322956442
2022-06-14,535074.1949242866
2022-06-15,513170.4280581399
2022-06-16,507135.06732434616
2022-06-17,505143.91946338996
2022-06-20,503025.30314464873
2022-06-21,502904.137111213
2022-06-22,502006.99325802125
2022-06-23,500994.0057110418
2022-06-24,499824.83109492314
2022-06-27,502556.00351044943
2022-06-28,509568.5193941254
2022-06-29,509940.0868902487
2022-06-30,517553.3869846303
2022-07-04,513919.440291824
2022-07-05,511539.4796262761
